x,y
-5.00E-01,3.55E-23
-5.00E-01,7.33E-23
-5.00E-01,1.11E-22
-4.99E-01,1.48E-22
-4.99E-01,1.85E-22
-4.99E-01,2.21E-22
-4.99E-01,2.57E-22
-4.98E-01,2.91E-22
-4.98E-01,3.25E-22
-4.98E-01,3.57E-22
-4.98E-01,3.89E-22
-4.97E-01,4.19E-22
-4.97E-01,4.48E-22
-4.97E-01,4.75E-22
-4.97E-01,5.01E-22
-4.96E-01,5.24E-22
-4.96E-01,5.47E-22
-4.96E-01,5.67E-22
-4.96E-01,5.86E-22
-4.95E-01,6.02E-22
-4.95E-01,6.16E-22
-4.95E-01,6.29E-22
-4.95E-01,6.39E-22
-4.94E-01,6.47E-22
-4.94E-01,6.52E-22
-4.94E-01,6.56E-22
-4.94E-01,6.57E-22
-4.93E-01,6.56E-22
-4.93E-01,6.52E-22
-4.93E-01,6.46E-22
-4.93E-01,6.38E-22
-4.92E-01,6.28E-22
-4.92E-01,6.15E-22
-4.92E-01,6.00E-22
-4.92E-01,5.83E-22
-4.91E-01,5.64E-22
-4.91E-01,5.43E-22
-4.91E-01,5.19E-22
-4.91E-01,4.94E-22
-4.90E-01,4.67E-22
-4.90E-01,4.38E-22
-4.90E-01,4.07E-22
-4.90E-01,3.74E-22
-4.90E-01,3.41E-22
-4.89E-01,3.05E-22
-4.89E-01,2.69E-22
-4.89E-01,2.31E-22
-4.89E-01,1.92E-22
-4.88E-01,1.52E-22
-4.88E-01,1.11E-22
-4.88E-01,6.96E-23
-4.88E-01,2.76E-23
-4.87E-01,-1.49E-23
-4.87E-01,-5.77E-23
-4.87E-01,-1.01E-22
-4.87E-01,-1.44E-22
-4.86E-01,-1.86E-22
-4.86E-01,-2.29E-22
-4.86E-01,-2.71E-22
-4.86E-01,-3.12E-22
-4.85E-01,-3.53E-22
-4.85E-01,-3.93E-22
-4.85E-01,-4.32E-22
-4.85E-01,-4.69E-22
-4.84E-01,-5.06E-22
-4.84E-01,-5.41E-22
-4.84E-01,-5.74E-22
-4.84E-01,-6.06E-22
-4.83E-01,-6.36E-22
-4.83E-01,-6.64E-22
